Time,Open,High,Low,Close,Volume
2025-09-24 13:59,112601.03,112601.03,112585.49,112596.69,4.92613
2025-09-24 14:00,112596.7,112616.43,112596.7,112616.43,6.37443
2025-09-24 14:01,112616.43,112616.43,112601.03,112601.04,3.62922
2025-09-24 14:02,112601.04,112650,112601.03,112650,8.09946
2025-09-24 14:03,112650,112684,112644.74,112644.75,12.57171
2025-09-24 14:04,112644.75,112659.58,112644.74,112659.58,3.49532
2025-09-24 14:05,112659.58,112659.58,112646.18,112659.57,3.99137
2025-09-24 14:06,112659.57,112659.58,112636.85,112636.85,4.24888
2025-09-24 14:07,112636.86,112636.86,112636.85,112636.85,2.0861
2025-09-24 14:08,112636.86,112636.86,112625.97,112625.97,3.30232
2025-09-24 14:09,112625.97,112656.57,112625.97,112656.57,4.46023
2025-09-24 14:10,112656.57,112656.57,112645.27,112645.27,3.07012
2025-09-24 14:11,112645.28,112657.2,112645.26,112657.2,8.94013
2025-09-24 14:12,112657.2,112680,112657.19,112665.14,14.41782
2025-09-24 14:13,112665.14,112665.15,112646.2,112646.2,3.41899
2025-09-24 14:14,112646.2,112667.54,112637.18,112667.53,4.2457
2025-09-24 14:15,112667.54,112729.24,112667.54,112729.24,14.16363
2025-09-24 14:16,112729.24,112729.24,112683.8,112683.81,5.66984
2025-09-24 14:17,112683.81,112726.44,112683.8,112726.03,5.37186
2025-09-24 14:18,112726.03,112726.03,112726.02,112726.02,7.68357
2025-09-24 14:19,112726.03,112726.03,112724.93,112724.93,15.63882
2025-09-24 14:20,112724.93,112742.06,112724.93,112742.05,10.41872
2025-09-24 14:21,112742.06,112742.06,112714.37,112714.37,5.09453
2025-09-24 14:22,112714.38,112714.38,112672.47,112672.47,5.41896
2025-09-24 14:23,112672,112672,112603.82,112603.83,9.59136
2025-09-24 14:24,112603.83,112603.83,112559.21,112559.21,8.24575
2025-09-24 14:25,112559.21,112559.21,112550.38,112558.17,4.88883
2025-09-24 14:26,112558.17,112558.18,112500.32,112500.33,10.6047
2025-09-24 14:27,112500.33,112500.33,112459.44,112476.44,9.00526
2025-09-24 14:28,112476.44,112492.28,112476.44,112489.58,4.13749
2025-09-24 14:29,112489.58,112510.89,112489.57,112510.88,7.87037
2025-09-24 14:30,112510.89,112534.25,112498.91,112498.91,8.2309
2025-09-24 14:31,112498.91,112506.85,112498.91,112506.84,5.88642
2025-09-24 14:32,112506.84,112518.3,112497.09,112518.29,7.83828
2025-09-24 14:33,112518.29,112518.3,112518.29,112518.29,2.90105
2025-09-24 14:34,112518.3,112518.3,112464.37,112475.38,10.20883
2025-09-24 14:35,112475.38,112486.77,112475.38,112486.76,3.91576
2025-09-24 14:36,112486.76,112501.46,112471.08,112471.08,8.0255
2025-09-24 14:37,112471.08,112478.95,112464.78,112464.78,5.17676
